TIME_PERIOD,VICTIMIZATION_PRIMARY,AGE,SEX,RACE,NUMBER_OF_VICTIMS
12/31/2002,ROBBERY,40-49,M,WHI,116
3/31/2019,BATTERY,0-19,F,API,1
3/31/2015,ASSAULT,40-49,F,WHI,1
6/30/2007,ROBBERY,80+,F,WHI,7
12/31/2013,ROBBERY,70-79,M,WHI,6
9/30/2020,BATTERY,20-29,F,BLK,97
9/30/2013,ROBBERY,20-29,M,WHI,179
12/31/2020,BATTERY,70-79,F,BLK,3
6/30/2011,ASSAULT,60-69,M,BLK,4
12/31/2017,BATTERY,70-79,F,API,1
6/30/2018,ASSAULT,40-49,F,UNKNOWN,1
12/31/2003,ROBBERY,80+,M,BLK,15
3/31/2004,BATTERY,20-29,M,WWH,109
12/31/2002,CRIMINAL SEXUAL ASSAULT,0-19,F,WBH,2
9/30/2010,ASSAULT,50-59,M,API,4
3/31/2012,BATTERY,30-39,M,WHI,22
3/31/2016,ROBBERY,30-39,F,API,7
6/30/2007,BATTERY,20-29,F,BLK,164
12/31/2014,ROBBERY,50-59,M,WWH,25
12/31/2003,BATTERY,UNKNOWN,M,WWH,1
6/30/2006,ASSAULT,0-19,M,BLK,10
9/30/2017,BATTERY,0-19,UNKNOWN,UNKNOWN,1
3/31/2011,HOMICIDE,0-19,M,WWH,1
6/30/2006,ROBBERY,40-49,F,BLK,116
3/31/2005,CRIMINAL SEXUAL ASSAULT,40-49,F,BLK,16
3/31/2017,ROBBERY,0-19,UNKNOWN,BLK,1
9/30/2005,ROBBERY,30-39,M,WWH,157
12/31/2012,ROBBERY,0-19,M,WWH,91
12/31/2005,ROBBERY,UNKNOWN,M,WWH,4
3/31/2016,CRIMINAL SEXUAL ASSAULT,40-49,F,I,1
3/31/2020,ROBBERY,40-49,M,I,2
3/31/2013,HOMICIDE,20-29,M,WBH,1
12/31/2015,BATTERY,30-39,M,WWH,9
6/30/2017,ASSAULT,0-19,F,BLK,20
3/31/2003,ASSAULT,50-59,F,WWH,1
3/31/2011,HOMICIDE,0-19,M,BLK,5
6/30/2020,CRIMINAL SEXUAL ASSAULT,20-29,M,WHI,1
6/30/2007,ROBBERY,30-39,M,I,1
3/31/2010,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,61
3/31/2004,ROBBERY,0-19,F,WHI,13
3/31/2008,BATTERY,0-19,M,API,3
3/31/2020,ROBBERY,20-29,F,UNKNOWN,10
9/30/2010,ROBBERY,30-39,UNKNOWN,UNKNOWN,9
12/31/2010,ROBBERY,60-69,UNKNOWN,UNKNOWN,1
3/31/2021,HOMICIDE,60-69,M,BLK,1
9/30/2003,ASSAULT,20-29,F,WWH,14
12/31/2012,ASSAULT,40-49,F,WWH,6
3/31/2003,HOMICIDE,30-39,M,BLK,14
12/31/2001,ASSAULT,30-39,M,API,11
12/31/2003,BATTERY,20-29,M,WHI,5
9/30/1991,HOMICIDE,0-19,M,BLK,1
9/30/2012,BATTERY,40-49,M,WHI,4
3/31/2020,BATTERY,50-59,F,BLK,31
9/30/2001,ASSAULT,UNKNOWN,M,API,1
9/30/2002,BATTERY,0-19,M,WWH,2
9/30/2011,BATTERY,50-59,UNKNOWN,UNKNOWN,1
3/31/2019,HOMICIDE,0-19,M,WWH,1
12/31/2003,ROBBERY,0-19,F,WWH,1
3/31/2005,ASSAULT,0-19,F,WWH,14
6/30/2003,HOMICIDE,30-39,F,WWH,1
12/31/2017,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,4
3/31/2002,ROBBERY,30-39,F,WBH,1
6/30/2017,ROBBERY,70-79,F,BLK,13
12/31/2007,ROBBERY,0-19,UNKNOWN,UNKNOWN,2
6/30/2008,ASSAULT,UNKNOWN,F,BLK,6
6/30/2007,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,5
9/30/2004,BATTERY,50-59,M,WWH,5
6/30/2008,ASSAULT,60-69,F,BLK,6
3/31/2009,ASSAULT,0-19,UNKNOWN,UNKNOWN,2
12/31/2013,ASSAULT,0-19,M,WHI,2
12/31/1996,HOMICIDE,0-19,M,WHI,1
9/30/2021,ASSAULT,UNKNOWN,F,BLK,22
3/31/2003,CRIMINAL SEXUAL ASSAULT,30-39,F,WWH,2
9/30/2010,BATTERY,40-49,UNKNOWN,BLK,1
12/31/2005,ROBBERY,60-69,M,WWH,17
6/30/2003,ROBBERY,UNKNOWN,M,I,1
6/30/2021,ASSAULT,0-19,F,WHI,2
9/30/2003,ROBBERY,0-19,UNKNOWN,UNKNOWN,5
3/31/2011,BATTERY,40-49,M,WWH,5
6/30/2004,BATTERY,0-19,M,UNKNOWN,1
9/30/2008,BATTERY,30-39,F,WWH,21
3/31/2009,ROBBERY,20-29,F,WWH,49
6/30/2012,ROBBERY,50-59,M,I,1
12/31/2001,ROBBERY,30-39,M,WWH,175
6/30/2001,HOMICIDE,30-39,F,BLK,3
3/31/2012,CRIMINAL SEXUAL ASSAULT,30-39,M,WHI,1
3/31/2009,BATTERY,70-79,M,BLK,3
9/30/2001,ROBBERY,40-49,F,UNKNOWN,1
6/30/2002,ASSAULT,40-49,M,WBH,1
3/31/2018,ROBBERY,30-39,M,UNKNOWN,14
9/30/2001,BATTERY,30-39,F,BLK,145
12/31/2009,BATTERY,50-59,M,BLK,54
6/30/2011,BATTERY,30-39,F,API,2
12/31/2022,ROBBERY,0-19,F,WWH,13
3/31/2008,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,1
6/30/2013,ASSAULT,20-29,F,WHI,4
6/30/2019,CRIMINAL SEXUAL ASSAULT,60-69,F,BLK,2
12/31/2010,ROBBERY,20-29,F,UNKNOWN,13
3/31/2002,HOMICIDE,70-79,M,WHI,1
9/30/2016,CRIMINAL SEXUAL ASSAULT,0-19,F,API,2
3/31/2018,BATTERY,40-49,M,BLK,38
12/31/2016,ASSAULT,30-39,M,UNKNOWN,1
12/31/2018,BATTERY,60-69,M,BLK,32
12/31/2008,BATTERY,40-49,M,UNKNOWN,1
3/31/2001,BATTERY,40-49,F,BLK,58
9/30/2001,ROBBERY,20-29,M,I,4
3/31/2014,CRIMINAL SEXUAL ASSAULT,20-29,F,BLK,32
6/30/2007,ROBBERY,0-19,M,API,3
3/31/2009,HOMICIDE,20-29,M,BLK,1
9/30/2008,ROBBERY,60-69,M,BLK,3
9/30/2006,ASSAULT,40-49,M,BLK,36
12/31/2022,ROBBERY,40-49,M,BLK,94
9/30/2022,ROBBERY,UNKNOWN,F,UNKNOWN,7
6/30/2002,BATTERY,40-49,M,WWH,8
3/31/2020,ROBBERY,60-69,UNKNOWN,UNKNOWN,1
6/30/2003,ROBBERY,20-29,M,WWH,241
6/30/2018,ROBBERY,60-69,M,API,8
12/31/2022,ROBBERY,80+,M,WHI,3
9/30/2009,ASSAULT,0-19,M,UNKNOWN,1
3/31/2004,ROBBERY,80+,M,API,3
12/31/1999,HOMICIDE,30-39,F,BLK,3
6/30/2016,ROBBERY,20-29,UNKNOWN,UNKNOWN,7
12/31/2010,ROBBERY,40-49,M,I,1
6/30/2000,HOMICIDE,20-29,F,BLK,2
9/30/2006,ROBBERY,0-19,F,BLK,49
6/30/2009,ASSAULT,30-39,UNKNOWN,UNKNOWN,6
6/30/2005,ASSAULT,30-39,F,WWH,14
12/31/2007,BATTERY,80+,F,WWH,1
9/30/2013,HOMICIDE,70-79,M,BLK,1
3/31/2010,BATTERY,70-79,F,BLK,1
12/31/2001,ASSAULT,0-19,M,I,1
12/31/2008,ROBBERY,30-39,M,BLK,4
12/31/2010,BATTERY,50-59,F,BLK,21
9/30/2017,ASSAULT,70-79,M,BLK,1
6/30/2003,BATTERY,0-19,F,WHI,7
6/30/2013,BATTERY,70-79,M,WWH,1
6/30/2021,ASSAULT,40-49,M,BLK,83
6/30/2015,ROBBERY,30-39,M,WHI,40
3/31/2019,BATTERY,80+,M,WHI,1
9/30/2011,ROBBERY,60-69,F,BLK,13
12/31/2008,CRIMINAL SEXUAL ASSAULT,30-39,F,WWH,4
6/30/2020,HOMICIDE,0-19,F,BLK,3
3/31/2019,ROBBERY,20-29,M,BLK,153
6/30/2014,BATTERY,50-59,M,WHI,1
12/31/2016,BATTERY,0-19,F,BLK,14
12/31/2001,BATTERY,60-69,F,BLK,3
6/30/2018,CRIMINAL SEXUAL ASSAULT,30-39,F,WHI,17
6/30/2011,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,24
6/30/2016,ASSAULT,40-49,M,API,2
3/31/2006,ASSAULT,30-39,M,BLK,95
9/30/2019,BATTERY,20-29,M,UNKNOWN,2
9/30/2018,ASSAULT,0-19,F,UNKNOWN,7
6/30/2017,ROBBERY,30-39,UNKNOWN,BLK,1
3/31/2009,ASSAULT,UNKNOWN,F,BLK,4
9/30/1993,HOMICIDE,60-69,M,BLK,1
12/31/2007,BATTERY,0-19,M,BLK,81
6/30/2001,HOMICIDE,0-19,M,WBH,1
12/31/2017,ASSAULT,20-29,M,BLK,40
6/30/2020,ASSAULT,50-59,M,UNKNOWN,1
9/30/2010,HOMICIDE,0-19,M,WWH,2
12/31/2020,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,57
3/31/1991,HOMICIDE,20-29,M,WHI,6
6/30/2005,BATTERY,60-69,M,WHI,3
3/31/2006,BATTERY,0-19,F,UNKNOWN,1
12/31/2002,HOMICIDE,20-29,M,WHI,1
6/30/2009,BATTERY,0-19,M,BLK,127
9/30/2020,CRIMINAL SEXUAL ASSAULT,30-39,F,API,1
9/30/2014,ASSAULT,0-19,F,WWH,2
3/31/2021,ROBBERY,40-49,M,BLK,2
3/31/2003,ASSAULT,20-29,M,WWH,6
12/31/2014,ROBBERY,20-29,F,WWH,4
9/30/2017,CRIMINAL SEXUAL ASSAULT,30-39,F,BLK,7
12/31/2022,CRIMINAL SEXUAL ASSAULT,30-39,F,UNKNOWN,5
12/31/2009,ROBBERY,0-19,M,API,3
9/30/2016,ASSAULT,50-59,UNKNOWN,UNKNOWN,1
9/30/2012,ASSAULT,60-69,M,WWH,2
6/30/2001,BATTERY,0-19,M,BLK,419
12/31/2015,ROBBERY,0-19,M,WBH,2
3/31/2013,ROBBERY,20-29,F,WHI,92
9/30/2005,ASSAULT,0-19,M,WWH,43
9/30/2008,ROBBERY,50-59,UNKNOWN,BLK,1
9/30/2016,CRIMINAL SEXUAL ASSAULT,60-69,F,WHI,1
9/30/2018,ASSAULT,0-19,UNKNOWN,UNKNOWN,1
3/31/2002,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,1
6/30/2016,BATTERY,60-69,M,BLK,18
6/30/1994,HOMICIDE,UNKNOWN,M,BLK,1
12/31/2022,BATTERY,70-79,M,BLK,13
12/31/2013,ROBBERY,50-59,M,WBH,1
12/31/2016,ROBBERY,60-69,M,API,6
3/31/2010,ASSAULT,50-59,F,API,1
6/30/2021,BATTERY,60-69,M,API,2
12/31/2015,ASSAULT,40-49,F,WBH,2
12/31/2018,ROBBERY,20-29,UNKNOWN,UNKNOWN,2
12/31/2001,ROBBERY,0-19,M,API,2
9/30/2014,ASSAULT,80+,M,BLK,2
9/30/2010,ASSAULT,0-19,UNKNOWN,UNKNOWN,5
6/30/2010,BATTERY,0-19,F,BLK,30
6/30/1993,HOMICIDE,30-39,F,BLK,4
9/30/2016,ROBBERY,30-39,M,API,28
6/30/2005,HOMICIDE,30-39,M,WWH,3
9/30/2005,CRIMINAL SEXUAL ASSAULT,40-49,M,BLK,3
9/30/2005,HOMICIDE,20-29,F,WWH,1
6/30/2006,CRIMINAL SEXUAL ASSAULT,30-39,F,WWH,3
9/30/2015,ASSAULT,40-49,M,WHI,11
12/31/2012,BATTERY,60-69,F,WHI,2
9/30/1992,HOMICIDE,60-69,M,WHI,1
3/31/2021,BATTERY,30-39,M,UNKNOWN,2
3/31/2021,ASSAULT,0-19,F,BLK,20
12/31/2004,ASSAULT,20-29,M,WHI,57
9/30/2020,ROBBERY,0-19,F,BLK,18
9/30/2012,BATTERY,30-39,F,WHI,6
9/30/2009,ASSAULT,20-29,M,API,9
6/30/2018,BATTERY,0-19,F,BLK,20
9/30/2020,ROBBERY,20-29,M,UNKNOWN,18
9/30/2004,BATTERY,20-29,F,WWH,26
12/31/2012,ASSAULT,30-39,M,WWH,43
3/31/2004,BATTERY,50-59,F,WWH,3
3/31/2005,ROBBERY,30-39,F,WWH,22
9/30/2010,CRIMINAL SEXUAL ASSAULT,0-19,M,WHI,1
9/30/2011,CRIMINAL SEXUAL ASSAULT,40-49,F,WWH,1
3/31/2009,ASSAULT,50-59,M,API,2
3/31/1998,HOMICIDE,40-49,F,WWH,1
9/30/2002,ROBBERY,30-39,M,WBH,3
12/31/2005,BATTERY,0-19,F,WHI,7
3/31/2007,HOMICIDE,20-29,F,WWH,1
6/30/2018,ASSAULT,30-39,M,UNKNOWN,3
6/30/2012,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,23
9/30/2009,ROBBERY,40-49,UNKNOWN,UNKNOWN,5
9/30/2007,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,71
3/31/2021,ASSAULT,UNKNOWN,M,BLK,13
12/31/2018,ASSAULT,40-49,M,API,6
3/31/2020,BATTERY,20-29,M,BLK,44
3/31/2018,CRIMINAL SEXUAL ASSAULT,0-19,F,UNKNOWN,11
6/30/2006,ROBBERY,30-39,M,BLK,6
9/30/2017,BATTERY,50-59,M,API,1
3/31/2005,HOMICIDE,0-19,M,BLK,2
9/30/2017,ASSAULT,40-49,UNKNOWN,BLK,1
12/31/2003,BATTERY,50-59,F,WHI,5
3/31/2012,BATTERY,40-49,F,WHI,2
9/30/2004,ROBBERY,0-19,M,WHI,28
6/30/2007,BATTERY,50-59,M,BLK,92
3/31/2013,BATTERY,0-19,M,WWH,13
6/30/2008,HOMICIDE,0-19,F,BLK,1
3/31/2007,HOMICIDE,20-29,F,BLK,1
6/30/2006,BATTERY,40-49,M,UNKNOWN,1
6/30/2006,HOMICIDE,50-59,F,BLK,1
12/31/2015,BATTERY,40-49,F,WWH,3
9/30/2003,ASSAULT,50-59,M,WWH,9
12/31/2020,ROBBERY,70-79,M,UNKNOWN,1
12/31/2016,CRIMINAL SEXUAL ASSAULT,30-39,F,WHI,7
12/31/2017,CRIMINAL SEXUAL ASSAULT,60-69,F,BLK,1
12/31/2005,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,22
3/31/2002,BATTERY,0-19,F,WWH,4
9/30/2004,ASSAULT,70-79,M,WHI,1
3/31/2013,BATTERY,80+,F,BLK,1
9/30/2020,BATTERY,50-59,M,BLK,27
12/31/2007,ROBBERY,50-59,M,API,17
3/31/1998,HOMICIDE,30-39,M,WHI,3
6/30/2012,CRIMINAL SEXUAL ASSAULT,30-39,M,BLK,1
3/31/1993,HOMICIDE,20-29,M,WWH,1
3/31/2015,ASSAULT,30-39,M,WHI,2
3/31/2003,BATTERY,20-29,M,WBH,2
9/30/2001,BATTERY,70-79,F,BLK,3
3/31/2006,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,6
3/31/2001,ASSAULT,0-19,F,UNKNOWN,1
9/30/2011,ROBBERY,20-29,F,BLK,28
3/31/2021,CRIMINAL SEXUAL ASSAULT,20-29,M,WWH,3
6/30/2014,ASSAULT,40-49,F,WWH,8
6/30/2000,HOMICIDE,0-19,M,BLK,8
12/31/2006,ASSAULT,50-59,M,BLK,40
3/31/2010,BATTERY,30-39,F,BLK,62
12/31/2020,ASSAULT,60-69,M,API,1
12/31/2019,BATTERY,30-39,M,UNKNOWN,1
6/30/2005,BATTERY,20-29,M,WHI,65
6/30/2009,ASSAULT,70-79,UNKNOWN,UNKNOWN,1
12/31/2019,ASSAULT,0-19,F,BLK,12
9/30/2009,ROBBERY,30-39,M,UNKNOWN,15
3/31/2020,ROBBERY,0-19,F,API,1
12/31/2018,BATTERY,20-29,M,BLK,63
9/30/2020,ROBBERY,50-59,UNKNOWN,UNKNOWN,1
3/31/2017,ASSAULT,40-49,M,BLK,16
12/31/2016,ROBBERY,0-19,M,UNKNOWN,7
6/30/2004,ASSAULT,0-19,F,WHI,6
9/30/2010,BATTERY,40-49,F,BLK,50
9/30/2018,BATTERY,70-79,M,BLK,8
3/31/2006,BATTERY,UNKNOWN,F,BLK,1
12/31/2019,ROBBERY,40-49,M,BLK,115
9/30/2016,ASSAULT,20-29,M,UNKNOWN,4
9/30/2017,ASSAULT,30-39,M,BLK,74
12/31/2001,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,10
3/31/2013,CRIMINAL SEXUAL ASSAULT,0-19,F,WBH,1
6/30/2011,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,28
6/30/2002,ASSAULT,50-59,F,WHI,7
12/31/2011,ASSAULT,0-19,F,BLK,17
12/31/2014,CRIMINAL SEXUAL ASSAULT,40-49,F,BLK,13
3/31/2012,BATTERY,40-49,M,WWH,20
3/31/2007,BATTERY,40-49,UNKNOWN,UNKNOWN,1
12/31/2014,ROBBERY,20-29,M,WHI,101
12/31/2012,ASSAULT,30-39,F,WHI,7
3/31/2021,NON-FATAL,40-49,F,BLK,1
6/30/2001,HOMICIDE,20-29,F,BLK,1
9/30/2009,ASSAULT,UNKNOWN,UNKNOWN,BLK,1
12/31/2017,ROBBERY,30-39,UNKNOWN,UNKNOWN,1
9/30/2004,BATTERY,20-29,M,WHI,2
3/31/2015,BATTERY,60-69,M,WHI,6
9/30/2006,ASSAULT,30-39,M,API,6
12/31/2003,BATTERY,50-59,M,WWH,2
9/30/2012,BATTERY,30-39,M,WWH,9
9/30/2019,ROBBERY,20-29,M,API,32
6/30/2009,CRIMINAL SEXUAL ASSAULT,20-29,F,WWH,6
6/30/2011,ROBBERY,50-59,M,I,2
6/30/2019,BATTERY,70-79,M,BLK,4
9/30/2001,BATTERY,40-49,F,API,1
3/31/2011,ROBBERY,60-69,F,API,3
9/30/2003,ASSAULT,50-59,F,WHI,3
9/30/2015,ROBBERY,0-19,M,WWH,58
6/30/2009,ROBBERY,20-29,M,BLK,5
12/31/2009,ASSAULT,30-39,UNKNOWN,BLK,1
9/30/2004,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,1
9/30/2007,HOMICIDE,40-49,F,WWH,1
12/31/1998,HOMICIDE,20-29,F,WWH,1
12/31/2008,ROBBERY,40-49,M,API,23
9/30/2004,BATTERY,UNKNOWN,M,WWH,2
12/31/2018,HOMICIDE,50-59,F,BLK,1
9/30/2002,ROBBERY,60-69,M,WWH,23
12/31/2020,ASSAULT,50-59,M,BLK,44
9/30/2007,HOMICIDE,30-39,M,BLK,14
6/30/2016,ASSAULT,30-39,M,BLK,24
3/31/2003,ASSAULT,20-29,F,WHI,14
3/31/2002,CRIMINAL SEXUAL ASSAULT,0-19,M,WWH,5
6/30/2017,ASSAULT,20-29,M,UNKNOWN,1
9/30/2018,CRIMINAL SEXUAL ASSAULT,20-29,F,BLK,16
12/31/2011,ASSAULT,0-19,M,API,1
6/30/2007,BATTERY,0-19,M,UNKNOWN,1
12/31/2006,ASSAULT,UNKNOWN,M,API,1
3/31/2015,ASSAULT,30-39,F,WWH,8
12/31/2022,ROBBERY,50-59,F,BLK,82
9/30/2005,ROBBERY,40-49,M,WHI,95
9/30/2002,ROBBERY,UNKNOWN,M,WWH,9
6/30/2011,BATTERY,40-49,F,BLK,36
12/31/2016,BATTERY,50-59,UNKNOWN,UNKNOWN,1
6/30/2011,ROBBERY,30-39,F,UNKNOWN,4
9/30/2015,BATTERY,40-49,F,WBH,1
6/30/2020,CRIMINAL SEXUAL ASSAULT,50-59,M,WWH,1
9/30/2017,ROBBERY,60-69,UNKNOWN,UNKNOWN,2
3/31/2004,BATTERY,50-59,M,WHI,9
9/30/2013,ROBBERY,50-59,M,WWH,43
12/31/2012,BATTERY,60-69,M,WWH,1
9/30/2014,ROBBERY,70-79,M,WHI,7
9/30/2014,ASSAULT,0-19,M,WHI,4
9/30/2019,CRIMINAL SEXUAL ASSAULT,70-79,F,WHI,1
12/31/2017,ASSAULT,50-59,M,API,3
9/30/2004,ROBBERY,80+,M,BLK,5
6/30/2018,BATTERY,60-69,M,UNKNOWN,2
9/30/2004,ROBBERY,0-19,F,WWH,1
12/31/2014,BATTERY,0-19,F,WWH,2
12/31/2019,ROBBERY,70-79,M,API,1
6/30/2016,BATTERY,0-19,F,UNKNOWN,1
12/31/2004,BATTERY,20-29,F,WBH,2
12/31/2004,BATTERY,70-79,M,WHI,1
3/31/2020,ASSAULT,70-79,M,BLK,2
12/31/2019,ASSAULT,0-19,M,API,2
6/30/2010,ROBBERY,20-29,F,BLK,154
9/30/2005,ASSAULT,0-19,F,WHI,1
6/30/2009,BATTERY,50-59,M,UNKNOWN,7
12/31/2015,BATTERY,40-49,M,WHI,6
12/31/2005,BATTERY,0-19,M,WWH,1
12/31/2004,ASSAULT,20-29,F,WWH,18
9/30/2014,CRIMINAL SEXUAL ASSAULT,20-29,F,API,4
6/30/2016,BATTERY,0-19,M,BLK,87
9/30/2016,ASSAULT,0-19,UNKNOWN,BLK,1
12/31/2002,ROBBERY,30-39,M,WWH,165
3/31/2006,ASSAULT,40-49,M,API,1
6/30/2015,CRIMINAL SEXUAL ASSAULT,0-19,M,WWH,1
3/31/2011,CRIMINAL SEXUAL ASSAULT,30-39,M,WHI,1
9/30/2012,ASSAULT,60-69,F,WHI,1
6/30/2001,CRIMINAL SEXUAL ASSAULT,0-19,F,BLK,5
9/30/2010,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,3
3/31/2021,CRIMINAL SEXUAL ASSAULT,0-19,F,API,2
3/31/2018,BATTERY,30-39,M,API,3
9/30/2015,ASSAULT,40-49,F,WWH,6
3/31/2015,BATTERY,30-39,F,WBH,1
12/31/2016,ROBBERY,20-29,UNKNOWN,BLK,1
3/31/2002,BATTERY,0-19,M,WHI,26
12/31/2017,BATTERY,0-19,F,BLK,7
9/30/2008,BATTERY,30-39,F,BLK,88
12/31/1997,HOMICIDE,30-39,M,BLK,18
12/31/2007,ASSAULT,20-29,F,BLK,88
9/30/2001,ROBBERY,60-69,M,BLK,60
9/30/2010,ROBBERY,50-59,M,BLK,195
9/30/2017,ASSAULT,50-59,F,UNKNOWN,1
12/31/2017,BATTERY,80+,M,WWH,1
9/30/2021,ROBBERY,UNKNOWN,F,API,1
6/30/2010,HOMICIDE,20-29,M,WHI,1
6/30/2002,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,1
9/30/2011,ROBBERY,40-49,M,UNKNOWN,10
6/30/2015,ASSAULT,30-39,M,WWH,10
9/30/2009,BATTERY,20-29,F,UNKNOWN,7
6/30/2020,ROBBERY,0-19,F,BLK,10
3/31/2009,BATTERY,50-59,F,UNKNOWN,1
12/31/1994,HOMICIDE,30-39,F,WHI,2
9/30/2021,ROBBERY,0-19,M,API,1
6/30/2004,BATTERY,50-59,F,WHI,2
3/31/2011,BATTERY,40-49,M,BLK,54
3/31/2001,BATTERY,UNKNOWN,M,UNKNOWN,1
3/31/2021,BATTERY,UNKNOWN,UNKNOWN,UNKNOWN,9
12/31/2008,CRIMINAL SEXUAL ASSAULT,0-19,F,UNKNOWN,1
6/30/2003,HOMICIDE,30-39,M,WWH,4
12/31/2008,ASSAULT,30-39,UNKNOWN,UNKNOWN,1
6/30/2018,BATTERY,70-79,M,UNKNOWN,1
6/30/2019,BATTERY,60-69,M,BLK,42
12/31/2016,HOMICIDE,UNKNOWN,UNKNOWN,UNKNOWN,1
3/31/2005,BATTERY,0-19,F,WWH,3
12/31/2014,ROBBERY,30-39,M,WHI,70
9/30/2022,BATTERY,UNKNOWN,F,WHI,3
3/31/2015,ASSAULT,20-29,F,WWH,13
12/31/2018,CRIMINAL SEXUAL ASSAULT,60-69,F,BLK,1
9/30/2002,ROBBERY,70-79,M,WWH,4
6/30/2009,CRIMINAL SEXUAL ASSAULT,30-39,F,WWH,7
3/31/2013,CRIMINAL SEXUAL ASSAULT,20-29,UNKNOWN,BLK,1
9/30/2003,ROBBERY,0-19,M,WHI,58
3/31/2003,BATTERY,60-69,M,WWH,6
3/31/2013,ROBBERY,30-39,M,WWH,1
12/31/2008,ROBBERY,50-59,M,API,13
6/30/2010,ROBBERY,30-39,F,BLK,92
9/30/2013,ASSAULT,0-19,F,WWH,1
12/31/2003,BATTERY,40-49,M,WWH,6
9/30/2017,ROBBERY,70-79,UNKNOWN,UNKNOWN,1
9/30/2021,BATTERY,0-19,M,BLK,5
9/30/2005,ROBBERY,50-59,M,WHI,82
9/30/2004,ASSAULT,60-69,F,WWH,1
3/31/2014,BATTERY,0-19,M,WWH,4
3/31/2015,BATTERY,70-79,M,WHI,2
9/30/2012,BATTERY,20-29,M,WWH,13
12/31/2012,ASSAULT,20-29,F,WHI,5
12/31/2017,ASSAULT,40-49,M,API,4
3/31/2004,BATTERY,40-49,M,WHI,26
3/31/2003,ASSAULT,30-39,F,WHI,17
9/30/2013,ROBBERY,40-49,M,WWH,73
12/31/2006,ROBBERY,0-19,M,API,1
9/30/2001,HOMICIDE,40-49,F,BLK,1
6/30/2008,BATTERY,50-59,M,BLK,72
12/31/2022,HOMICIDE,40-49,M,BLK,11
3/31/2001,BATTERY,20-29,F,API,1
3/31/2009,BATTERY,0-19,UNKNOWN,UNKNOWN,1
3/31/2005,BATTERY,80+,M,BLK,1
